"route_name","lat_min","lat_max","lng_min","lng_max","avg_speed"
"Kejawan-UNESA","-7.2911","-7.2641","112.6762","112.8026","10.6933"
"Mayjend Sungkono-Balai Kota","-7.2916","-7.2608","112.7139","112.7505","9.6"
"Mayjend Sungkono-Puspa Raya","-7.295","-7.2562","112.6349","112.7189","17.9722"
"Purabaya-ITS-Kenjeran Park","-7.3518","-7.2501","112.7127","112.7906","21.0341"
"Purabaya-Perak","-7.3533","-7.2037","112.7247","112.7416","6.7909"
"Purabaya-UNAIR Kampus C","-7.3555","-7.2637","112.7125","112.7894","16.8286"
"SIER-Kota Lama","-7.32","-7.2385","112.7344","112.7508","13.3281"
"TIJ - Gunung Anyar","-7.3422","-7.2933","112.7335","112.8089","20.2857"
"TIJ - Lakarsantri","-7.314","-7.2876","112.6337","112.7395","14.284"
"TOW - UNESA","-7.2857","-7.2184","112.6531","112.6854","17.975"
"Term. Benowo-Tunjungan","-7.2748","-7.2212","112.6005","112.7455","13.9167"
"Term. Bratang - Stasiun Psr. Turi","-7.299","-7.2484","112.7311","112.7622","9.7903"
"Term. Keputih-Bunguran","-7.2947","-7.2399","112.7498","112.8116","16.0"
"Term. Menanggal-Term. Manukan","-7.3431","-7.2589","112.6744","112.7355","12.3516"
"Terminal Bratang - Shelter Bulak","-7.299","-7.2261","112.7616","112.7932","14.04"
